epoch,train_loss,val_loss,train_acc,val_acc,train_spikes,val_spikes
1,2.4099317975342274,2.1151089327675954,47.6,43.5,0.337013,0.335494
2,1.8848823085427284,1.6574128355298723,47.6,43.5,0.337013,0.335494
3,1.5098941512405872,1.3009228450911385,47.6,43.5,0.337013,0.335494
4,1.1636015307158232,0.993947718824659,47.6,43.5,0.337013,0.335494
5,0.899723993614316,0.7849084138870239,51.8,69.0,0.337013,0.335494
6,0.7467532958835363,0.6937059504645211,62.2,61.0,0.337013,0.335494
7,0.6975357811897993,0.671998143196106,51.8,55.5,0.337013,0.335494
8,0.689008928835392,0.6643145339829581,54.7,58.5,0.337013,0.335494
9,0.6857736632227898,0.6621624146189008,55.1,58.5,0.337013,0.335494
10,0.6825259029865265,0.6600100142615182,57.7,65.0,0.337013,0.335494
11,0.6780302859842777,0.6572242890085492,58.9,65.0,0.337013,0.335494
12,0.6741510666906834,0.6549319965498788,61.3,65.0,0.337013,0.335494
13,0.672084029763937,0.6516308273587909,58.0,65.0,0.337013,0.335494
14,0.6688901521265507,0.647618864263807,65.3,65.0,0.337013,0.335494
15,0.6654770746827126,0.6473616021020072,63.6,65.0,0.337013,0.335494
16,0.6627390459179878,0.6437950730323792,65.3,65.0,0.337013,0.335494
17,0.6582421455532312,0.6413667031696865,59.5,65.0,0.337013,0.335494
18,0.6532650589942932,0.6379498754228864,65.3,65.0,0.337013,0.335494
19,0.6503694634884596,0.6337857927594867,65.3,65.0,0.337013,0.335494
20,0.6493094265460968,0.6328284825597491,65.3,65.0,0.337013,0.335494
21,0.6436843648552895,0.6302375197410583,61.5,65.0,0.337013,0.335494
22,0.6425765343010426,0.6258413365909031,67.1,65.0,0.337013,0.335494
23,0.6386515107005835,0.6229248898369926,65.3,65.0,0.337013,0.335494
24,0.6349492762237787,0.6196718897138324,63.3,65.0,0.337013,0.335494
25,0.6325828563421965,0.6166848114558628,65.3,65.0,0.337013,0.335494
26,0.6273748278617859,0.6153179236820766,68.5,65.0,0.337013,0.335494
27,0.6224151123315096,0.6101193513189044,66.8,65.0,0.337013,0.335494
28,0.6198785305023193,0.6077769483838763,69.5,65.0,0.337013,0.335494
29,0.6167404465377331,0.6057713031768799,69.4,69.0,0.337013,0.335494
30,0.6134924348443747,0.601113498210907,69.0,74.5,0.337013,0.335494
31,0.6107413750141859,0.5979461244174412,71.1,74.5,0.337013,0.335494
32,0.6063682846724987,0.5946112019675118,72.6,74.5,0.337013,0.335494
33,0.6044971402734518,0.5928258555276054,71.4,78.5,0.337013,0.335494
34,0.5983446575701237,0.5898333873067584,75.4,78.5,0.337013,0.335494
35,0.5964591708034277,0.585618793964386,72.6,78.5,0.337013,0.335494
36,0.5934798810631037,0.5833840029580253,81.5,78.5,0.337013,0.335494
37,0.5889618899673223,0.5808991619518825,76.3,78.5,0.337013,0.335494
38,0.5877373944967985,0.5763221468244281,81.6,78.5,0.337013,0.335494
39,0.5824884194880724,0.5750340223312378,73.7,89.5,0.337013,0.335494
40,0.5793090537190437,0.5718080827168056,89.9,89.5,0.337013,0.335494
41,0.5779122915118933,0.5670482516288757,83.7,82.5,0.337013,0.335494
42,0.5731725338846445,0.5644137859344482,77.7,89.5,0.337013,0.335494
43,0.5714685507118702,0.561496010848454,90.2,89.5,0.337013,0.335494
44,0.5671604461967945,0.5574330261775425,88.6,89.5,0.337013,0.335494
45,0.5632466562092304,0.5540314146450588,90.2,89.5,0.337013,0.335494
46,0.5606161262840033,0.5525041733469281,84.3,89.5,0.337013,0.335494
47,0.5554774701595306,0.5498946819986615,90.2,89.5,0.337013,0.335494
48,0.5548404194414616,0.5467447127614703,84.7,89.5,0.337013,0.335494
49,0.5500832814723253,0.5431707160813468,90.2,89.5,0.337013,0.335494
50,0.5482859034091234,0.5395345773015704,90.2,89.5,0.337013,0.335494
51,0.5431977277621627,0.5359790325164795,90.2,89.5,0.337013,0.335494
52,0.5404211282730103,0.5357881273542132,90.2,89.5,0.337013,0.335494
53,0.5378011036664248,0.5296640396118164,90.2,89.5,0.337013,0.335494
54,0.5342510938644409,0.5267953021185738,90.2,89.5,0.337013,0.335494
55,0.535368955694139,0.5238184077399117,91.5,89.5,0.337013,0.335494
56,0.5301240971311927,0.5221855597836631,90.2,89.5,0.337013,0.335494
57,0.5239579491317272,0.5184253965105329,90.2,89.5,0.337013,0.335494
58,0.5226855063810945,0.5152837634086609,90.2,89.5,0.337013,0.335494
59,0.519497468136251,0.5124236004693168,90.2,89.5,0.337013,0.335494
60,0.5155828995630145,0.5107808581420353,90.2,89.5,0.337013,0.335494
61,0.5152539722621441,0.5069046403680529,90.2,89.5,0.337013,0.335494
62,0.5113739278167486,0.5033657678536007,90.2,89.5,0.337013,0.335494
63,0.5069146398454905,0.5013041283403125,90.2,89.5,0.337013,0.335494
64,0.5037965569645166,0.49767074840409414,90.2,89.5,0.337013,0.335494
65,0.5017114272341132,0.4948034073625292,90.2,89.5,0.337013,0.335494
66,0.49829509388655424,0.4921811010156359,90.2,89.5,0.337013,0.335494
67,0.4958035685122013,0.4902436648096357,90.2,89.5,0.337013,0.335494
68,0.49469397868961096,0.48692349450928823,90.2,89.5,0.337013,0.335494
69,0.48999898973852396,0.48497429490089417,90.2,89.5,0.337013,0.335494
70,0.4867547918111086,0.48110203657831463,90.2,89.5,0.337013,0.335494
71,0.48459725361317396,0.48043508189065115,90.2,89.5,0.337013,0.335494
72,0.4805652340874076,0.47538842473711285,91.9,89.5,0.337013,0.335494
73,0.47868746519088745,0.4733373352459499,90.2,89.5,0.337013,0.335494
74,0.4773445902392268,0.4705474461827959,90.2,89.5,0.337013,0.335494
75,0.4731654729694128,0.4685993194580078,94.1,89.5,0.337013,0.335494
76,0.4692807858809829,0.46488473245075773,90.2,89.5,0.337013,0.335494
77,0.4670144720003009,0.46328483309064594,90.2,89.5,0.337013,0.335494
78,0.4662293717265129,0.45960385884557453,91.4,89.5,0.337013,0.335494
79,0.46205099672079086,0.4568777935845511,90.2,89.5,0.337013,0.335494
80,0.4588037086650729,0.45420356733458384,90.2,89.5,0.337013,0.335494
81,0.45774058625102043,0.45144857679094585,90.2,89.5,0.337013,0.335494
82,0.4540568692609668,0.44976227624075754,92.6,89.5,0.337013,0.335494
83,0.45277968887239695,0.44826614005225046,90.4,94.5,0.337013,0.335494
84,0.44899137131869793,0.4447700083255768,90.9,89.5,0.337013,0.335494
85,0.4459193116053939,0.4413661403315408,94.4,89.5,0.337013,0.335494
86,0.44265781063586473,0.4400084401879992,90.2,89.5,0.337013,0.335494
87,0.44194392766803503,0.43774027483803885,91.8,94.5,0.337013,0.335494
88,0.43687748443335295,0.43467173406056,90.7,89.5,0.337013,0.335494
89,0.4368843771517277,0.4310167985303061,93.9,89.5,0.337013,0.335494
90,0.4326854879036546,0.42936642255101887,90.8,94.5,0.337013,0.335494
91,0.43169463239610195,0.42864231978143963,91.5,94.5,0.337013,0.335494
92,0.4284560130909085,0.42394167610577177,91.5,89.5,0.337013,0.335494
93,0.4242141963914037,0.42264263544763836,91.9,94.5,0.337013,0.335494
94,0.4222836019471288,0.41857071008001057,91.4,89.5,0.337013,0.335494
95,0.42053831927478313,0.4166463443211147,90.2,89.5,0.337013,0.335494
96,0.4208950540050864,0.4147642297404153,95.9,94.5,0.337013,0.335494
97,0.41528541315346956,0.4119806970868792,91.3,89.5,0.337013,0.335494
98,0.4117672285065055,0.40883335896900724,94.4,89.5,0.337013,0.335494
99,0.410509935580194,0.4083820027964456,93.0,94.5,0.337013,0.335494
100,0.40935458056628704,0.4059140043599265,90.8,94.5,0.337013,0.335494
